2017-Jun-18 11:31:20.989803 Starting Circus
2017-Jun-18 11:31:20.993806 Ensuring database ../Data/capublic.db exists
2017-Jun-18 11:31:20.998809 	capublic_bill_tbl creation
2017-Jun-18 12:38:05.864167 201720180AB54 is OK.
2017-Jun-18 12:38:05.962236 201720180AB55 is OK.
2017-Jun-18 12:38:06.055301 201720180ACR1 is OK.
2017-Jun-18 12:38:06.145383 201720180AJR1 is OK.
2017-Jun-18 12:38:06.328495 201720180AJR2 is OK.
2017-Jun-18 12:38:06.533640 201720180AB674 is OK.
2017-Jun-18 12:38:06.677741 201720180AB274 is OK.
2017-Jun-18 12:38:06.796825 201720180SB1 is OK.
2017-Jun-18 12:38:06.931921 201720180SB6 is OK.
2017-Jun-18 12:38:07.048003 201720180SB10 is OK.
2017-Jun-18 12:38:07.187102 201720180SB11 is OK.
2017-Jun-18 12:38:07.301183 201720180SB5 is OK.
2017-Jun-18 12:38:07.433276 201720180SB12 is OK.
2017-Jun-18 12:38:07.557364 201720180SB13 is OK.
2017-Jun-18 12:38:07.681611 201720180SB14 is OK.
2017-Jun-18 12:38:07.818642 201720180SB15 is OK.
2017-Jun-18 12:38:07.966522 201720180SB18 is OK.
2017-Jun-18 12:38:08.101405 201720180SB19 is OK.
2017-Jun-18 12:38:08.223048 201720180AB1 is OK.
2017-Jun-18 12:38:08.379160 201720180HR1 is OK.
2017-Jun-18 12:38:08.520258 201720180HR4 is OK.
2017-Jun-18 12:38:08.623331 201720180HR2 is OK.
2017-Jun-18 12:38:08.795457 201720180HR3 is OK.
2017-Jun-18 12:38:08.997595 201720180AB2 is OK.
2017-Jun-18 12:38:09.201741 201720180AB13 is OK.
2017-Jun-18 12:38:09.389891 201720180AB14 is OK.
2017-Jun-18 12:38:09.522968 201720180AB15 is OK.
2017-Jun-18 12:38:09.629059 201720180AB16 is OK.
2017-Jun-18 12:38:09.840204 201720180AB17 is OK.
2017-Jun-18 12:38:09.940279 201720180AB18 is OK.
2017-Jun-18 12:38:10.023338 201720180SB20 is OK.
2017-Jun-18 12:38:10.145424 201720180SR7 is OK.
2017-Jun-18 12:38:10.240475 201720180AB19 is OK.
2017-Jun-18 12:38:10.370583 201720180SB21 is OK.
2017-Jun-18 12:38:10.456644 201720180SB22 is OK.
2017-Jun-18 12:38:10.555711 201720180SB23 is OK.
2017-Jun-18 12:38:10.753838 201720180SB25 is OK.
2017-Jun-18 12:38:10.912966 201720180AB20 is OK.
2017-Jun-18 12:38:11.113108 201720180AB21 is OK.
2017-Jun-18 12:38:11.304225 201720180AB22 is OK.
2017-Jun-18 12:38:11.470344 201720180AB23 is OK.
2017-Jun-18 12:38:11.587443 201720180AB24 is OK.
2017-Jun-18 12:38:11.673486 201720180AB32 is OK.
2017-Jun-18 12:38:11.770556 201720180AB33 is OK.
2017-Jun-18 12:38:11.879649 201720180SR10 is OK.
2017-Jun-18 12:38:12.004722 201720180SB59 is OK.
2017-Jun-18 12:38:12.099787 201720180SB58 is OK.
2017-Jun-18 12:38:12.206870 201720180AB65 is OK.
2017-Jun-18 12:38:12.297944 201720180AB64 is OK.
2017-Jun-18 12:38:12.381998 201720180AB81 is OK.
2017-Jun-18 12:38:12.471051 201720180SB60 is OK.
2017-Jun-18 12:38:12.566118 201720180SB61 is OK.
2017-Jun-18 12:38:12.672191 201720180AB161 is OK.
2017-Jun-18 12:38:12.765257 201720180ACR9 is OK.
2017-Jun-18 12:38:12.882340 201720180AB162 is OK.
2017-Jun-18 12:38:13.049458 201720180AB163 is OK.
2017-Jun-18 12:38:13.163539 201720180AB164 is OK.
2017-Jun-18 12:38:13.256608 201720180AB165 is OK.
2017-Jun-18 12:38:13.354693 201720180AB166 is OK.
2017-Jun-18 12:38:13.473760 201720180SB57 is OK.
2017-Jun-18 12:38:13.582853 201720180AB62 is OK.
2017-Jun-18 12:38:13.695933 201720180SB100 is OK.
2017-Jun-18 12:38:13.790997 201720180SB85 is OK.
2017-Jun-18 12:38:13.896066 201720180SB86 is OK.
2017-Jun-18 12:38:13.990125 201720180SB101 is OK.
2017-Jun-18 12:38:14.087204 201720180SB87 is OK.
2017-Jun-18 12:38:14.232294 201720180SB88 is OK.
2017-Jun-18 12:38:14.354383 201720180SB102 is OK.
2017-Jun-18 12:38:14.479469 201720180SB89 is OK.
2017-Jun-18 12:38:14.573537 201720180SB118 is OK.
2017-Jun-18 12:38:14.671622 201720180SB90 is OK.
2017-Jun-18 12:38:14.765672 201720180SB91 is OK.
2017-Jun-18 12:38:14.854734 201720180SB103 is OK.
2017-Jun-18 12:38:15.005841 201720180SB119 is OK.
2017-Jun-18 12:38:15.100180 201720180SB92 is OK.
2017-Jun-18 12:38:15.213285 201720180SB104 is OK.
2017-Jun-18 12:38:15.341486 201720180SB93 is OK.
2017-Jun-18 12:38:15.476014 201720180SB120 is OK.
2017-Jun-18 12:38:15.588805 201720180SB94 is OK.
2017-Jun-18 12:38:15.709481 201720180AB503 is OK.
2017-Jun-18 12:38:15.853344 201720180AB758 is OK.
2017-Jun-18 12:38:15.959670 201720180AB495 is OK.
2017-Jun-18 12:38:16.065497 201720180SB79 is OK.
2017-Jun-18 12:38:16.165556 201720180AB90 is OK.
2017-Jun-18 12:38:16.263642 201720180AB91 is OK.
2017-Jun-18 12:38:16.411747 201720180AB92 is OK.
2017-Jun-18 12:38:16.535834 201720180AB93 is OK.
2017-Jun-18 12:38:16.649915 201720180SB70 is OK.
2017-Jun-18 12:38:16.746985 201720180SB71 is OK.
2017-Jun-18 12:38:16.849055 201720180SR12 is OK.
2017-Jun-18 12:38:16.948126 201720180SB78 is OK.
2017-Jun-18 12:38:17.116244 201720180SB80 is OK.
2017-Jun-18 12:38:17.222303 201720180SB81 is OK.
2017-Jun-18 12:38:17.382415 201720180AB95 is OK.
2017-Jun-18 12:38:17.524515 201720180SB121 is OK.
2017-Jun-18 12:38:17.669618 201720180SB95 is OK.
2017-Jun-18 12:38:17.763686 201720180SB96 is OK.
2017-Jun-18 12:38:17.857752 201720180SB97 is OK.
2017-Jun-18 12:38:18.007859 201720180SB98 is OK.
2017-Jun-18 12:38:18.121937 201720180SB122 is OK.
2017-Jun-18 12:38:18.225010 201720180SB99 is OK.
2017-Jun-18 12:38:18.372115 201720180SB105 is OK.
2017-Jun-18 12:38:18.466182 201720180SB123 is OK.
2017-Jun-18 12:38:18.550242 201720180SB124 is OK.
2017-Jun-18 12:38:18.671326 201720180SB106 is OK.
2017-Jun-18 12:38:18.791412 201720180SB107 is OK.
2017-Jun-18 12:38:18.958530 201720180SB125 is OK.
2017-Jun-18 12:38:19.057616 201720180SB108 is OK.
2017-Jun-18 12:38:19.232740 201720180SB109 is OK.
2017-Jun-18 12:38:19.333806 201720180SB126 is OK.
2017-Jun-18 12:38:19.433881 201720180SB111 is OK.
2017-Jun-18 12:38:19.515940 201720180SB112 is OK.
2017-Jun-18 12:38:19.615993 201720180SB127 is OK.
2017-Jun-18 12:38:19.722070 201720180SB114 is OK.
2017-Jun-18 12:38:19.825153 201720180SB128 is OK.
2017-Jun-18 12:38:19.922210 201720180SB115 is OK.
2017-Jun-18 12:38:20.008272 201720180SB116 is OK.
2017-Jun-18 12:38:20.141365 201720180AB177 is OK.
2017-Jun-18 12:38:20.247440 201720180SCR5 is OK.
2017-Jun-18 12:38:20.358519 201720180AB178 is OK.
2017-Jun-18 12:38:20.455587 201720180SB113 is OK.
2017-Jun-18 12:38:20.625707 201720180SB110 is OK.
2017-Jun-18 12:38:20.730782 201720180AB179 is OK.
2017-Jun-18 12:38:20.858873 201720180AB180 is OK.
2017-Jun-18 12:38:20.964964 201720180SB809 is OK.
2017-Jun-18 12:38:21.067018 201720180ACA2 is OK.
2017-Jun-18 12:38:21.165088 201720180AB204 is OK.
2017-Jun-18 12:38:21.251148 201720180ACR12 is OK.
2017-Jun-18 12:38:21.398269 201720180SB810 is OK.
2017-Jun-18 12:38:21.500325 201720180SB149 is OK.
2017-Jun-18 12:38:21.597411 201720180SB150 is OK.
2017-Jun-18 12:38:21.715476 201720180SB133 is OK.
2017-Jun-18 12:38:21.848583 201720180SB134 is OK.
2017-Jun-18 12:38:21.942638 201720180SB135 is OK.
2017-Jun-18 12:38:22.030705 201720180AB72 is OK.
2017-Jun-18 12:38:22.125767 201720180AB70 is OK.
2017-Jun-18 12:38:22.230842 201720180SB358 is OK.
2017-Jun-18 12:38:22.338918 201720180SB359 is OK.
2017-Jun-18 12:38:22.456001 201720180SR11 is OK.
2017-Jun-18 12:38:22.565094 201720180AB69 is OK.
2017-Jun-18 12:38:22.667167 201720180SB360 is OK.
2017-Jun-18 12:38:22.784232 201720180AB79 is OK.
2017-Jun-18 12:38:22.953514 201720180AB80 is OK.
2017-Jun-18 12:38:23.223978 201720180AB76 is OK.
2017-Jun-18 12:38:23.467620 201720180AB77 is OK.
2017-Jun-18 12:38:23.583690 201720180AB78 is OK.
2017-Jun-18 12:38:23.708778 201720180SB361 is OK.
2017-Jun-18 12:38:23.814853 201720180ACR5 is OK.
2017-Jun-18 12:38:23.962975 201720180SCR9 is OK.
2017-Jun-18 12:38:24.084056 201720180SCR10 is OK.
2017-Jun-18 12:38:24.209133 201720180SCR11 is OK.
2017-Jun-18 12:38:24.301213 201720180SB362 is OK.
2017-Jun-18 12:38:24.409273 201720180SCR12 is OK.
2017-Jun-18 12:38:24.517351 201720180SCR13 is OK.
2017-Jun-18 12:38:24.625428 201720180SCR14 is OK.
2017-Jun-18 12:38:24.734504 201720180ACR6 is OK.
2017-Jun-18 12:38:24.842581 201720180SJR3 is OK.
2017-Jun-18 12:38:24.950665 201720180SR11 is OK.
2017-Jun-18 12:38:25.142793 201720180AB98 is OK.
2017-Jun-18 12:38:25.250868 201720180AB99 is OK.
2017-Jun-18 12:38:25.350939 201720180AB129 is OK.
2017-Jun-18 12:38:25.459016 201720180AB100 is OK.
2017-Jun-18 12:38:25.551097 201720180AB130 is OK.
2017-Jun-18 12:38:25.651152 201720180AB131 is OK.
2017-Jun-18 12:38:25.789248 201720180AB101 is OK.
2017-Jun-18 12:38:25.884316 201720180AB136 is OK.
2017-Jun-18 12:38:26.001400 201720180AB108 is OK.
2017-Jun-18 12:38:26.109475 201720180AB137 is OK.
2017-Jun-18 12:38:26.201556 201720180AB109 is OK.
2017-Jun-18 12:38:26.314620 201720180AB138 is OK.
2017-Jun-18 12:38:26.409703 201720180AB139 is OK.
2017-Jun-18 12:38:26.556807 201720180AB140 is OK.
2017-Jun-18 12:38:26.679878 201720180AB116 is OK.
2017-Jun-18 12:38:26.792974 201720180AB117 is OK.
2017-Jun-18 12:38:26.918063 201720180AB118 is OK.
2017-Jun-18 12:38:27.015115 201720180AB119 is OK.
2017-Jun-18 12:38:27.109181 201720180AB120 is OK.
2017-Jun-18 12:38:27.243277 201720180AB121 is OK.
2017-Jun-18 12:38:27.753656 201720180AB96 is OK.
2017-Jun-18 12:38:28.275004 201720180SB72 is OK.
2017-Jun-18 12:38:28.426112 201720180SB73 is OK.
2017-Jun-18 12:38:28.532204 201720180SB74 is OK.
2017-Jun-18 12:38:28.658292 201720180SB75 is OK.
2017-Jun-18 12:38:28.760364 201720180SB76 is OK.
2017-Jun-18 12:38:28.873444 201720180AB122 is OK.
2017-Jun-18 12:38:28.976500 201720180AB123 is OK.
2017-Jun-18 12:38:29.132610 201720180SB77 is OK.
2017-Jun-18 12:38:29.234682 201720180AB124 is OK.
2017-Jun-18 12:38:29.332751 201720180SCR15 is OK.
2017-Jun-18 12:38:29.434841 201720180AB125 is OK.
2017-Jun-18 12:38:29.539898 201720180AB126 is OK.
2017-Jun-18 12:38:29.685002 201720180AB127 is OK.
2017-Jun-18 12:38:29.815093 201720180AB97 is OK.
2017-Jun-18 12:38:29.957203 201720180AB128 is OK.
2017-Jun-18 12:38:30.108310 201720180AB102 is OK.
2017-Jun-18 12:38:30.202250 201720180AB83 is OK.
2017-Jun-18 12:38:30.349115 201720180AB84 is OK.
2017-Jun-18 12:38:30.488441 201720180AB85 is OK.
2017-Jun-18 12:38:30.637163 201720180AB87 is OK.
2017-Jun-18 12:38:30.768119 201720180AB132 is OK.
2017-Jun-18 12:38:30.874187 201720180SCR7 is OK.
2017-Jun-18 12:38:30.977260 201720180SB66 is OK.
2017-Jun-18 12:38:31.124363 201720180SB67 is OK.
2017-Jun-18 12:38:31.257457 201720180SB68 is OK.
2017-Jun-18 12:38:31.369536 201720180SB69 is OK.
2017-Jun-18 12:38:31.549673 201720180ACR7 is OK.
2017-Jun-18 12:38:31.660742 201720180AB82 is OK.
2017-Jun-18 12:38:31.766834 201720180AB103 is OK.
2017-Jun-18 12:38:31.906916 201720180AB133 is OK.
2017-Jun-18 12:38:32.044030 201720180AB104 is OK.
2017-Jun-18 12:38:32.191118 201720180AB134 is OK.
2017-Jun-18 12:38:32.293189 201720180AB105 is OK.
2017-Jun-18 12:38:32.429286 201720180AB135 is OK.
2017-Jun-18 12:38:32.541364 201720180AB106 is OK.
2017-Jun-18 12:38:32.683482 201720180SB65 is OK.
2017-Jun-18 12:38:32.854585 201720180AB107 is OK.
2017-Jun-18 12:38:32.980676 201720180AB110 is OK.
2017-Jun-18 12:38:33.151802 201720180AB141 is OK.
2017-Jun-18 12:38:33.285890 201720180AB142 is OK.
2017-Jun-18 12:38:33.382967 201720180AB143 is OK.
2017-Jun-18 12:38:33.486033 201720180AB144 is OK.
2017-Jun-18 12:38:33.583100 201720180AB145 is OK.
2017-Jun-18 12:38:33.678168 201720180AB146 is OK.
2017-Jun-18 12:38:33.858296 201720180AB111 is OK.
2017-Jun-18 12:38:33.985386 201720180AB147 is OK.
2017-Jun-18 12:38:34.091461 201720180AB149 is OK.
2017-Jun-18 12:38:34.194533 201720180AB75 is OK.
2017-Jun-18 12:38:34.308613 201720180AB112 is OK.
2017-Jun-18 12:38:34.443708 201720180AB113 is OK.
2017-Jun-18 12:38:34.601820 201720180AB114 is OK.
2017-Jun-18 12:38:34.766948 201720180ACR8 is OK.
2017-Jun-18 12:38:34.884031 201720180AB115 is OK.
2017-Jun-18 12:38:34.978087 201720180AB58 is OK.
2017-Jun-18 12:38:35.086163 201720180ACR2 is OK.
2017-Jun-18 12:38:35.191243 201720180SR3 is OK.
2017-Jun-18 12:38:35.302316 201720180SR5 is OK.
2017-Jun-18 12:38:35.399383 201720180SR6 is OK.
2017-Jun-18 12:38:35.519470 201720180SCR1 is OK.
